entity_id,state,last_changed
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,183.375,2025-02-04T23:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,183.595,2025-02-05T00:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,183.796,2025-02-05T01:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,183.915,2025-02-05T02:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.122,2025-02-05T03:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.24,2025-02-05T04:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.359,2025-02-05T05:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.477,2025-02-05T06:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.594,2025-02-05T07:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.713,2025-02-05T08:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.83,2025-02-05T09:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,184.947,2025-02-05T10:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.066,2025-02-05T11:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.184,2025-02-05T12:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.302,2025-02-05T13:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.42,2025-02-05T14:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.538,2025-02-05T15:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.656,2025-02-05T16:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.775,2025-02-05T17:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,185.892,2025-02-05T18:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.01,2025-02-05T19:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.128,2025-02-05T20:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.246,2025-02-05T21:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.364,2025-02-05T22:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.498,2025-02-05T23:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.703,2025-02-06T00:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,186.891,2025-02-06T01:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.049,2025-02-06T02:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.183,2025-02-06T03:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.379,2025-02-06T04:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.613,2025-02-06T05:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.731,2025-02-06T06:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.851,2025-02-06T07:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,187.97,2025-02-06T08:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.088,2025-02-06T09:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.209,2025-02-06T10:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.33,2025-02-06T11:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.451,2025-02-06T12:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.573,2025-02-06T13:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.694,2025-02-06T14:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.815,2025-02-06T15:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,188.934,2025-02-06T16:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.053,2025-02-06T17:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.206,2025-02-06T18:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.337,2025-02-06T19:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.497,2025-02-06T20:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.69,2025-02-06T21:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.81,2025-02-06T22:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,189.948,2025-02-06T23:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,190.081,2025-02-07T00:00:00.000Z
